World,Goals,Plans,Model,Step,Time,Cost,Prob,Results
10,3,10,0,1,162267300,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,19294400,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,18893900,50/154/201/,0.8460888095823226/0.11010215797664807/0.04380903244102941/,0/
10,3,10,0,5,16489900,50/252/313/,0.9757926245497026/0.018587062520059372/0.005620312930238047/,0/
10,3,10,0,6,12346600,50/395/475/,0.998607784695839/0.001152180473805243/2.4003483035578963E-4/,0/
10,3,10,0,1,8294000,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,8812700,50/72/91/,0.4768291566369227/0.309756255469786/0.21341458789329118/,0/
10,3,10,0,4,13428000,50/207/243/,0.9356673853565248/0.043070085458847704/0.02126252918462748/,0/
10,3,10,0,5,8577800,50/325/375/,0.9937789982827887/0.004523825490996653/0.0016971762262146426/,0/
10,3,10,0,6,9004100,50/468/535/,0.999650268023827/2.7563632490426723E-4/7.409565126878112E-5/,0/
10,3,10,0,1,13164000,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,7804500,50/100/100/,0.5713215241332831/0.2143392379333584/0.2143392379333584/,0/
10,3,10,0,4,9594200,50/217/254/,0.9468342617042406/0.035823863870903354/0.017341874424856102/,0/
10,3,10,0,5,8072200,50/307/355/,0.9910737333220994/0.0064209960152855775/0.002505270662615133/,0/
10,3,10,0,6,9157900,50/430/492/,0.9992474626322834/5.804347229644198E-4/1.7210264475227348E-4/,0/
10,3,10,0,1,7569400,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,8768000,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,7564300,50/249/249/,0.9611646049025242/0.01941769754873792/0.01941769754873792/,0/
10,3,10,0,5,6886900,50/381/381/,0.9969726898698752/0.0015136550650624104/0.0015136550650624104/,0/
10,3,10,0,6,6503500,50/521/521/,0.9998049670402/9.751647989998828E-5/9.751647989998828E-5/,0/
10,3,10,0,1,7428700,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,10006900,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,13520100,50/231/231/,0.9456214433929782/0.027189278303510974/0.027189278303510974/,0/
10,3,10,0,5,7691200,50/362/362/,0.9956120690135033/0.0021939654932483293/0.0021939654932483293/,0/
10,3,10,0,6,7946300,50/542/542/,0.9998707860325532/6.460698372338712E-5/6.460698372338712E-5/,0/
10,3,10,0,1,8335500,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
10,3,10,0,2,8636900,50/80/100/,0.5180084820259346/0.2876534113380679/0.19433810663599754/,0/
10,3,10,0,4,8621300,50/180/213/,0.8935906660674352/0.0698414864213746/0.0365678475111902/,0/
