World,Goals,Plans,Model,Step,Time,Cost,Prob,Results
10,6,10,0,1,147385100,65/50/50/65/65/65/,1.5295106667474044E-7/0.49999969409786665/0.49999969409786665/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/,1/2/
10,6,10,0,3,31112000,120/83/83/120/120/120/,4.266523812872033E-17/0.5/0.5/4.266523812872033E-17/4.266523812872033E-17/4.266523812872033E-17/,1/2/
10,6,10,0,4,19812300,180/134/134/180/180/180/,5.2653086787769066E-21/0.5/0.5/5.2653086787769066E-21/5.2653086787769066E-21/5.2653086787769066E-21/,1/2/
10,6,10,0,5,21618800,148/209/209/266/266/266/,1.0/3.2213402859925163E-27/3.2213402859925163E-27/5.665668176358939E-52/5.665668176358939E-52/5.665668176358939E-52/,0/
10,6,10,0,7,18241700,148/452/452/542/542/542/,1.0/9.429257620059943E-133/9.429257620059943E-133/7.726345597362993E-172/7.726345597362993E-172/7.726345597362993E-172/,0/
10,6,10,0,1,16946500,65/65/65/65/65/65/,0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/,0/1/2/3/4/5/
10,6,10,0,2,13817100,80/95/80/95/95/95/,0.4999996940978666/1.5295106667474042E-7/0.4999996940978666/1.5295106667474042E-7/1.5295106667474042E-7/1.5295106667474042E-7/,0/2/
10,6,10,0,4,14899000,111/231/111/231/231/231/,0.5/3.8338240368609994E-53/0.5/3.8338240368609994E-53/3.8338240368609994E-53/3.8338240368609994E-53/,0/2/
10,6,10,0,5,14931300,202/164/202/362/362/362/,3.1391327920480296E-17/1.0/3.1391327920480296E-17/1.0225689071173033E-86/1.0225689071173033E-86/1.0225689071173033E-86/,1/
10,6,10,0,6,17854600,236/318/329/542/542/542/,1.0/2.4426007377405277E-36/4.07955866717756E-41/1.2761112507218008E-133/1.2761112507218008E-133/1.2761112507218008E-133/,0/
10,6,10,0,1,12832700,50/65/65/65/65/65/,0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,0/
10,6,10,0,2,16900400,50/80/80/100/100/100/,0.9999999999998128/9.357622968838423E-14/9.357622968838423E-14/1.9287498479635567E-22/1.9287498479635567E-22/1.9287498479635567E-22/,0/
10,6,10,0,3,12577900,50/134/134/161/161/161/,1.0/3.3057006267607343E-37/3.3057006267607343E-37/6.213159586848109E-49/6.213159586848109E-49/6.213159586848109E-49/,0/
10,6,10,0,4,16268600,50/64/207/243/243/243/,0.9999991684719723/8.315280276641322E-7/6.542835178496102E-69/1.5176255571042465E-84/1.5176255571042465E-84/1.5176255571042465E-84/,0/
10,6,10,0,5,14068200,50/64/301/349/349/349/,0.9999991684719723/8.315280276641322E-7/9.819393883628046E-110/1.3994247477232712E-130/1.3994247477232712E-130/1.3994247477232712E-130/,0/
10,6,10,0,1,11499700,50/61/61/61/61/61/,0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,0/
10,6,10,0,2,12892900,50/72/86/86/86/86/,0.9999999997210522/2.789468092090809E-10/2.3195228295965435E-16/2.3195228295965435E-16/2.3195228295965435E-16/2.3195228295965435E-16/,0/
10,6,10,0,4,15883100,64/94/169/202/202/202/,0.9999999999999065/9.357622968839299E-14/2.5065674758997186E-46/1.1677812485235993E-60/1.1677812485235993E-60/1.1677812485235993E-60/,0/
10,6,10,0,5,19330000,78/105/266/310/310/310/,0.9999999999981204/1.8795288165355504E-12/2.2523579055409834E-82/1.7525894717377537E-101/1.7525894717377537E-101/1.7525894717377537E-101/,0/
10,6,10,0,6,13592300,108/116/384/443/443/443/,0.9996646498695336/3.353501304664781E-4/1.363255723056232E-120/3.244911804051146E-146/3.244911804051146E-146/3.244911804051146E-146/,0/
10,6,10,0,1,8642400,50/61/61/61/61/61/,0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,0/
10,6,10,0,2,13816600,50/86/86/86/86/86/,0.9999999999999988/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/,0/
10,6,10,0,3,11206200,50/110/110/135/135/135/,1.0/8.75651076269652E-27/8.75651076269652E-27/1.2160992992528256E-37/1.2160992992528256E-37/1.2160992992528256E-37/,0/
10,6,10,0,4,10075000,50/185/185/219/219/219/,1.0/2.3455513385429143E-59/2.3455513385429143E-59/4.020060215743355E-74/4.020060215743355E-74/4.020060215743355E-74/,0/
10,6,10,0,5,14347700,106/295/295/343/343/343/,1.0/8.285961676100547E-83/8.285961676100547E-83/1.1808854971746377E-103/1.1808854971746377E-103/1.1808854971746377E-103/,0/
10,6,10,0,1,7201600,50/65/50/65/65/65/,0.49999969409786665/1.5295106667474044E-7/0.49999969409786665/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/,0/2/
10,6,10,0,2,13053600,50/64/80/100/100/100/,0.9999991684718788/8.315280276640544E-7/9.357615187713528E-14/1.9287482441541805E-22/1.9287482441541805E-22/1.9287482441541805E-22/,0/
10,6,10,0,4,8841200,50/135/149/225/225/225/,1.0/1.2160992992528256E-37/1.0112214926104484E-43/9.964733010103672E-77/9.964733010103672E-77/9.964733010103672E-77/,0/
10,6,10,0,5,10316900,50/179/178/330/330/330/,1.0/9.462629465836377E-57/2.572209372642415E-56/2.4977275669152505E-122/2.4977275669152505E-122/2.4977275669152505E-122/,0/
10,6,10,0,6,10183000,50/265/270/464/464/464/,1.0/4.2333715886318503E-94/2.852423339163565E-96/1.5925185216216938E-180/1.5925185216216938E-180/1.5925185216216938E-180/,0/
10,6,10,0,1,7357100,50/61/61/61/61/61/,0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,0/
10,6,10,0,3,11804300,70/83/129/129/129/129/,0.999997739675702/2.2603242979035742E-6/2.3802610285204012E-26/2.3802610285204012E-26/2.3802610285204012E-26/2.3802610285204012E-26/,0/
10,6,10,0,4,11226700,70/149/213/213/213/213/,1.0/4.90609473064928E-35/7.868448159078602E-63/7.868448159078602E-63/7.868448159078602E-63/7.868448159078602E-63/,0/
10,6,10,0,5,12032800,80/190/317/317/317/317/,1.0/1.688911880224532E-48/1.1808854971746375E-103/1.1808854971746375E-103/1.1808854971746375E-103/1.1808854971746375E-103/,0/
10,6,10,0,7,14523900,140/272/570/570/570/570/,1.0/4.7111658015535965E-58/1.7921435007435354E-187/1.7921435007435354E-187/1.7921435007435354E-187/1.7921435007435354E-187/,0/
10,6,10,0,1,9259500,65/65/65/65/65/65/,0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/,0/1/2/3/4/5/
10,6,10,0,2,15684900,80/95/80/95/95/95/,0.4999996940978666/1.5295106667474042E-7/0.4999996940978666/1.5295106667474042E-7/1.5295106667474042E-7/1.5295106667474042E-7/,0/2/
10,6,10,0,4,7194800,111/231/154/231/231/231/,1.0/7.667648073721999E-53/2.1151310375910805E-19/7.667648073721999E-53/7.667648073721999E-53/7.667648073721999E-53/,0/
10,6,10,0,5,7284000,106/330/231/330/330/330/,1.0/5.2243955837917194E-98/5.16642063283786E-55/5.2243955837917194E-98/5.2243955837917194E-98/5.2243955837917194E-98/,0/
10,6,10,0,6,7922100,106/464/336/464/464/464/,1.0/3.3310064883265936E-156/1.2949981925089835E-100/3.3310064883265936E-156/3.3310064883265936E-156/3.3310064883265936E-156/,0/
10,6,10,0,1,9726300,50/65/65/65/65/65/,0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,0/
10,6,10,0,2,8825800,50/50/80/95/95/95/,0.4999999999999766/0.4999999999999766/4.6788114844198684E-14/1.4312592902746297E-20/1.4312592902746297E-20/1.4312592902746297E-20/,0/1/
10,6,10,0,3,11640700,78/78/96/156/156/156/,0.49999999619250507/0.49999999619250507/7.614989814368244E-9/6.66807402673399E-35/6.66807402673399E-35/6.66807402673399E-35/,0/1/
10,6,10,0,4,8211800,92/142/168/249/249/249/,1.0/1.9287498479639176E-22/9.854154686111257E-34/6.542840619051456E-69/6.542840619051456E-69/6.542840619051456E-69/,0/
10,6,10,0,5,10272600,92/212/246/349/349/349/,1.0/7.667648073722E-53/1.3141646683649009E-67/2.433986420186662E-112/2.433986420186662E-112/2.433986420186662E-112/,0/
10,6,10,0,1,6799700,50/65/65/65/65/65/,0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,0/
10,6,10,0,3,9808300,70/125/107/145/145/145/,1.0/1.2995814250075031E-24/8.533047625744066E-17/2.6786369618080778E-33/2.6786369618080778E-33/2.6786369618080778E-33/,0/
10,6,10,0,4,7666500,70/191/166/219/219/219/,1.0/2.8207700884601357E-53/2.031092662734811E-42/1.950393300130249E-65/1.950393300130249E-65/1.950393300130249E-65/,0/
10,6,10,0,5,10483500,100/183/249/323/323/323/,1.0/8.98582594404938E-37/1.9503933001302485E-65/1.4201379580102718E-97/1.4201379580102718E-97/1.4201379580102718E-97/,0/
10,6,10,0,7,16036000,170/241/457/577/577/577/,1.0/1.4624862272512311E-31/2.2776327231383779E-125/1.7464086162218176E-177/1.7464086162218176E-177/1.7464086162218176E-177/,0/
10,6,10,0,1,5913100,50/65/65/65/65/65/,0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,0/
10,6,10,0,2,8996300,64/100/100/100/100/100/,0.9999999999999986/2.319522830243566E-16/2.319522830243566E-16/2.319522830243566E-16/2.319522830243566E-16/2.319522830243566E-16/,0/
10,6,10,0,4,11166200,92/201/201/237/237/237/,1.0/4.590938473882946E-48/4.590938473882946E-48/1.0648786602415062E-63/1.0648786602415062E-63/1.0648786602415062E-63/,0/
10,6,10,0,5,8660500,120/252/252/313/313/313/,1.0/4.7111658015535965E-58/4.7111658015535965E-58/1.5176268190534823E-84/1.5176268190534823E-84/1.5176268190534823E-84/,0/
10,6,10,0,6,8367500,120/389/389/468/468/468/,1.0/1.4954929430743996E-117/1.4954929430743996E-117/7.337030047740496E-152/7.337030047740496E-152/7.337030047740496E-152/,0/
10,6,10,0,1,6375600,61/50/50/61/61/61/,8.350571457631005E-6/0.49998329885708487/0.49998329885708487/8.350571457631005E-6/8.350571457631005E-6/8.350571457631005E-6/,1/2/
10,6,10,0,2,8363500,50/72/72/86/86/86/,0.9999999994421057/2.7894680913126965E-10/2.7894680913126965E-10/2.3195228289495207E-16/2.3195228289495207E-16/2.3195228289495207E-16/,0/
10,6,10,0,4,6229200,64/134/134/202/202/202/,1.0/3.975449735908647E-31/3.975449735908647E-31/1.1677812485237086E-60/1.1677812485237086E-60/1.1677812485237086E-60/,0/
10,6,10,0,5,9294000,64/158/209/298/298/298/,1.0/1.5007857627073948E-41/1.0648786602415064E-63/2.371871925555801E-102/2.371871925555801E-102/2.371871925555801E-102/,0/
10,6,10,0,6,11140500,78/183/268/443/443/443/,1.0/2.506567475899953E-46/3.0482349509718567E-83/3.0374847438501007E-159/3.0374847438501007E-159/3.0374847438501007E-159/,0/
10,6,10,0,1,9109500,61/61/61/61/61/61/,0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/,0/1/2/3/4/5/
10,6,10,0,2,9004700,50/86/86/86/86/86/,0.9999999999999988/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/2.3195228302435667E-16/,0/
10,6,10,0,4,9873800,134/134/196/196/196/196/,0.5/0.5/5.925324321169906E-28/5.925324321169906E-28/5.925324321169906E-28/5.925324321169906E-28/,0/1/
10,6,10,0,5,11090400,158/158/304/304/304/304/,0.5/0.5/1.958734832225198E-64/1.958734832225198E-64/1.958734832225198E-64/1.958734832225198E-64/,0/1/
10,6,10,0,6,11250900,183/200/391/450/450/450/,0.9999999586006245/4.1399375473943306E-8/4.6424554638478824E-91/1.1050280794456896E-116/1.1050280794456896E-116/1.1050280794456896E-116/,0/
10,6,10,0,1,8605600,61/61/50/61/61/61/,1.6700306172661652E-5/1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,2/
10,6,10,0,3,16965700,140/140/88/140/140/120/,2.6102790696676718E-23/2.6102790696676718E-23/0.9999999999999872/2.6102790696676718E-23/2.6102790696676718E-23/1.2664165549094015E-14/,2/
10,6,10,0,4,8676200,118/208/135/208/208/180/,0.9999999586006245/8.19401228476351E-40/4.139937547394331E-8/8.19401228476351E-40/8.19401228476351E-40/1.1850648151730359E-27/,0/
10,6,10,0,5,7888200,152/272/272/272/272/225/,1.0/7.667648073722001E-53/7.667648073722001E-53/7.667648073722001E-53/7.667648073722001E-53/1.9792598779469048E-32/,0/
10,6,10,0,7,10484100,152/549/549/549/549/471/,1.0/3.84672096489656E-173/3.84672096489656E-173/3.84672096489656E-173/3.84672096489656E-173/2.8844317865858603E-139/,0/
10,6,10,0,1,9130600,50/65/50/65/65/65/,0.49999969409786665/1.5295106667474044E-7/0.49999969409786665/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/,0/2/
10,6,10,0,2,6885700,50/95/50/95/95/95/,0.5/1.4312592902746968E-20/0.5/1.4312592902746968E-20/1.4312592902746968E-20/1.4312592902746968E-20/,0/2/
10,6,10,0,4,10462900,94/208/134/208/208/208/,1.0/3.093350011308561E-50/4.248354255291589E-18/3.093350011308561E-50/3.093350011308561E-50/3.093350011308561E-50/,0/
10,6,10,0,5,11233700,183/336/236/336/336/336/,1.0/3.572269937619218E-67/9.602680054508677E-24/3.572269937619218E-67/3.572269937619218E-67/3.572269937619218E-67/,0/
10,6,10,0,6,8913200,276/471/342/471/471/471/,1.0/2.0538845540408258E-85/2.1705220113036395E-29/2.0538845540408258E-85/2.0538845540408258E-85/2.0538845540408258E-85/,0/
10,6,10,0,1,8577400,65/65/65/65/65/65/,0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/,0/1/2/3/4/5/
10,6,10,0,2,7769900,95/95/80/95/95/95/,3.059018526213929E-7/3.059018526213929E-7/0.9999984704907368/3.059018526213929E-7/3.059018526213929E-7/3.059018526213929E-7/,2/
10,6,10,0,4,10262500,112/207/168/243/243/243/,1.0/5.521082277028533E-42/4.78089288388547E-25/1.2806276389220833E-57/1.2806276389220833E-57/1.2806276389220833E-57/,0/
10,6,10,0,5,9662800,168/243/202/375/375/375/,0.9999999999999982/2.678636961808073E-33/1.71390843154201E-15/1.2619502849247622E-90/1.2619502849247622E-90/1.2619502849247622E-90/,0/
10,6,10,0,6,9482300,222/311/308/528/528/528/,1.0/2.2273635617957438E-39/4.4737793061811207E-38/1.276111250721801E-133/1.276111250721801E-133/1.276111250721801E-133/,0/
10,6,10,1,1,9813600,50/50/50/65/65/65/,0.33333323136592435/0.33333323136592435/0.33333323136592435/1.0196740897520824E-7/1.0196740897520824E-7/1.0196740897520824E-7/,0/1/2/
10,6,10,1,3,7742200,110/70/83/135/135/135/,4.24834465263324E-18/0.999997739675702/2.2603242979035742E-6/5.90007720547905E-29/5.90007720547905E-29/5.90007720547905E-29/,1/
10,6,10,1,5,9998100,272/84/225/317/317/317/,2.252357905545217E-82/1.0/5.814040485895939E-62/6.4474163546704995E-102/6.4474163546704995E-102/6.4474163546704995E-102/,1/
10,6,10,1,6,13033500,397/114/270/457/457/457/,1.2435453313830803E-123/1.0/1.7785284761271306E-68/1.0889118078156954E-149/1.0889118078156954E-149/1.0889118078156954E-149/,1/
10,6,10,1,8,9798800,817/154/495/924/924/924/,0.0/1.0/8.046030434738163E-149/0.0/0.0/0.0/,1/
10,6,10,1,1,8900100,50/50/65/65/65/65/,0.49999969409786665/0.49999969409786665/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/,0/1/
10,6,10,1,3,7989500,110/70/135/135/135/135/,4.248354255291589E-18/1.0/5.900090541597061E-29/5.900090541597061E-29/5.900090541597061E-29/5.900090541597061E-29/,1/
10,6,10,1,5,7425700,225/90/284/330/330/330/,2.3455513385429148E-59/1.0/5.583037061001887E-85/5.87928269824527E-105/5.87928269824527E-105/5.87928269824527E-105/,1/
10,6,10,1,6,9613200,308/100/430/492/492/492/,4.642455656042647E-91/1.0/4.817491664943075E-144/5.709040105864101E-171/5.709040105864101E-171/5.709040105864101E-171/,1/
